Species ,Mock01,Mock02,Mock03,Mock04,Mock05,Mock06,Mock07,Mock08,Mock09,Mock10
Pseudobutyrivibrio,0.0065,0.012,0.0047,0.0118,0.0071,0.0064,0.0085,0.0059,0.0057,0.0063
Pseudomonas,0.0018,0.0007,0.0015,0.0012,0.0007,0.0004,0.0026,0.0027,0.0035,0.0007
Ralstonia,0.0001,0.0001,0.0002,0.0001,0.0001,0,0.0003,0.0004,0.0001,0.0001
Robinsoniella,0.0072,0.0016,0.0033,0.0043,0.0068,0.0039,0.0016,0.0043,0.0023,0.0052
Roseburia,2.1459,2.5949,0.6378,0.2391,0.7884,0.7406,0.7577,0.4277,0.3256,1.3839
Rothia,0.0001,0,0,0.0001,0,0,0.0001,0,0,0
Ruminococcus,0.9469,3.1703,3.3856,2.1371,1.8469,3.3008,4.6853,1.9441,0.4758,0.6282
Sanguibacteroides,0.0008,0.0085,0.0001,0.0039,0.0005,0.0042,0.0002,0.0007,0.0004,0.0043
Selenomonas,0.0004,0.0005,0.001,0.0009,0.0005,0.0006,0.0019,0.0008,0.0004,0.0004
Slackia,0.0015,0.0012,0.011,0.0156,0.0054,0.0039,0.0123,0.0025,0.0199,0.0024
Sneathia,0.0008,0.0035,0.0086,0.0035,0.0071,0.0079,0.0084,0.0037,0.003,0.0042
Solobacterium,0.1225,0.0841,0.0899,0.114,0.1231,0.0787,0.0994,0.1041,0.1089,0.1872
Sporolactobacillus,0.0001,0,0.0001,0.0001,0,0,0,0.0001,0.0002,0.0001
Staphylococcus,2.015,0.0919,0.3582,0.1803,0.706,1.8101,1.9061,10.5126,0.5309,0.4294
Streptococcus,1.1276,2.0143,2.515,4.0925,1.8574,2.6378,4.7945,4.9584,5.2873,0.7918
Streptomyces,0.0002,0.0001,0.0004,0.0003,0.0002,0.0002,0.0012,0.001,0.0005,0.0011
Subdoligranulum,0.0009,0.0004,0.0006,0.0005,0.0025,0.0004,0.001,0.0003,0.0002,0.0007
Succinatimonas,0.0017,0.0026,0.0047,0.0023,0.0062,0.0026,0.0028,0.0017,0.0015,0.0016
Succiniclasticum,0.0001,0.0001,0.0006,0.0007,0.0002,0.0001,0.0012,0.0002,0.0003,0.0001
Sutterella,0.3227,0.0385,0.1644,0.1402,0.0787,1.126,0.3321,0.4859,1.4051,0.1512
Treponema,0.0009,0.0009,0.0006,0.0013,0.001,0.0007,0.0009,0.0006,0.0008,0.0006
Veillonella,0.006,0.0061,0.0077,0.0042,0.0064,0.0046,0.0063,0.0049,0.0048,0.0061
Weissella,0.0036,0.0047,0.0016,0.0018,0.0031,0.0056,0.0036,0.0066,0.0038,0.0107
Xylanibacter,0.0016,0.0015,0.0046,0.0032,0.0019,0.0028,0.0013,0.0013,0.0012,0.0005
